"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"146","adamman","iafric",0.27644094452381,0.278539727190476,0.28096810752381,0.279932859280952,0.285037004371429,0.291779236128571,0.00400304017142866,0.475106966343054,"Data-Driven",2,0
"147","datamodelers","iafric",0.2851834,0.2862258,0.2798609,0.2768371,0.2770556,0.2769416,0.00497156399999999,0.590057703362328,"Data-Driven",2,0
"148","MLTS","iafric",0.285827823479556,0.286334095981221,0.286580389163456,0.286671505303698,0.286669999021456,0.286613208058976,0.00581032983472717,0.689607913738359,"Data-Driven",2,1
"149","AbCdEfG","iafric",0.273875304359936,0.273875304359936,0.273975304359936,0.273975304359936,0.273975304359936,0.273975304359936,0.006697202640064,0.794867773752542,"Data-Driven",2,0
"150","Imielin","iafric",0.28,0.27,0.28,0.27,0.275,0.274,0.00681977433333332,0.80941538328301,"Intuition/Theory",2,1
"151","FMTeam","iafric",0.2734753,0.2734753,0.2734753,0.2734753,0.2734753,0.2734753,0.00716387366666669,0.850255340760214,"Data-Driven",2,1
"152","Tosbik","iafric",0.29,0.28,0.3,0.29,0.28,0.28,0.00748936333333332,0.88888658138821,"Intuition/Theory",2,0
"153","scaled-humanity","iafric",0.2871077,0.2877391,0.28884975,0.2852304,0.29436315,0.2907438,0.00836647633333334,0.992988083927301,"Data-Driven",2,0
"154","Team Social Psychological Skill","iafric",0.287672936681132,0.289193545881535,0.288970946488808,0.293809795419575,0.291741738257845,0.291534172867428,0.00984801559938717,1.1688268454858,"Hybrid",2,0
"155","HSCNAC","iafric",0.29,0.295,0.302,0.287,0.282,0.277,0.00998936333333333,1.18560291822021,"Intuition/Theory",2,1
"156","Motivation & Emotion","iafric",0.292057348662503,0.293113164318262,0.294590535034506,0.29186906568225,0.292747800492628,0.291600269772679,0.0120238569938047,1.42706992071739,"Data-Driven",2,0
"157","BlackSwan","iafric",0.29,0.29,0.3,0.3,0.3,0.3,0.016027493,1.90224760462418,"Hybrid",2,1
"158","Team42","iafric",0.29,0.3,0.29,0.3,0.31,0.3,0.0176941596666667,2.10005849584551,"Hybrid",2,0
"159","Lotus","iafric",0.27,0.25,0.25,0.26,0.3,0.28,0.018164264,2.15585355013171,"Intuition/Theory",2,0
"160","Pythia","iafric",0.293214645732811,0.298136083612765,0.300961518366308,0.304618842521541,0.305566313020837,0.30809075447518,0.0211255192882403,2.50731467875213,"Hybrid",2,0
"161","Dragon","iafric",0.3,0.3,0.3,0.31,0.31,0.31,0.0243608263333333,2.89130206073083,"Intuition/Theory",2,0
"162","Team Blue Skies","iafric",0.29,0.3,0.31,0.31,0.31,0.31,0.0243608263333333,2.89130206073083,"Intuition/Theory",2,0
"163","Heather Shimmer","iafric",0.306,0.306,0.306,0.306,0.306,0.306,0.0253608263333333,3.00998859546363,"Data-Driven",2,1
"164","FrostNova","iafric",0.29,0.3,0.3,0.31,0.32,0.32,0.026027493,3.08911295195216,"Intuition/Theory",2,0
"165","Old Chickens","iafric",0.293492554596666,0.282897204114946,0.285910606448126,0.302253592547854,0.3247489831692,0.351835967576206,0.0262173110754997,3.11164180156286,"Data-Driven",1,1
"166","Tosbik","iafric",0.31,0.3,0.32,0.31,0.3,0.31,0.0276941596666667,3.28692384317349,"Intuition/Theory",1,0
"167","TAPE-Measurement","iafric",0.29,0.3,0.31,0.32,0.3197,0.3194,0.0292108263333333,3.4669317541849,"Hybrid",2,0
"168","Cynical Belief in the Inexorable Crush of the Wheel","iafric",0.31,0.31,0.31,0.31,0.31,0.31,0.0293608263333333,3.48473473439482,"Data-Driven",2,1
"169","Average Joes","iafric",0.31,0.31,0.31,0.31,0.31,0.31,0.0293608263333333,3.48473473439482,"Data-Driven",2,1
"170","fearfulastra","iafric",0.311,0.311,0.31,0.31,0.31,0.31,0.0296941596666667,3.52429691263908,"Data-Driven",1,1
"171","BRTWN","iafric",0.3081723,0.3093274,0.3117052,0.3144629,0.3101763,0.3121291,0.0303563596666667,3.60289113593914,"Data-Driven",2,1
"172","The Well-Adjusted R Squares","iafric",0.3119504,0.3116969,0.3114434,0.3111898,0.3109363,0.3106828,0.0306774263333333,3.64099742602402,"Hybrid",1,0
"173","The Well-Adjusted R Squares","iafric",0.3119504,0.3116969,0.3114434,0.3111898,0.3109363,0.3106828,0.0306774263333333,3.64099742602402,"Data-Driven",2,0
